3.77 1.28 6.61
4.93 2.80 0.19
4.70 nan 2.03
2.17 0.25 9.42
1.98 nan 9.89
3.85 -0.45 5.15
9.63 3.09 7.30
0.80 -2.84 5.08
6.52 nan 1.60
1.77 3.49 0.88
8.43 0.98 1.07
5.70 -0.80 1.37
10.00 3.21 4.23
3.08 -8.74 6.68
7.50 3.05 8.41
8.82 -0.04 5.93
2.67 -3.03 2.05
3.64 -0.43 3.67
7.82 4.25 2.35
6.54 -1.94 3.63
2.18 -0.89 7.45
3.49 -1.76 3.80
1.88 -3.47 2.86
7.75 5.41 1.11
9.02 1.69 4.93
7.85 1.12 3.16
0.95 -6.08 2.18
8.41 -1.91 8.93
3.21 -1.32 6.71
3.72 0.82 0.19
7.06 -0.70 9.35
5.12 -1.83 0.67
9.46 4.71 7.95
8.04 0.24 0.49
2.07 -6.54 3.03
5.38 3.20 5.19
2.84 1.66 6.61
2.83 -2.67 2.93
4.96 0.95 0.36
2.81 -3.26 9.28
1.27 -9.25 6.17
6.30 -1.11 1.72
4.73 -0.08 9.95
8.65 6.12 5.37
5.11 3.24 5.38
0.11 -6.36 3.70
3.48 2.09 2.39
8.53 5.74 3.90
5.28 3.10 8.86
1.44 -1.95 7.87
2.48 0.75 0.67
2.21 nan 9.47
3.17 -5.46 7.70
7.58 5.85 7.58
9.61 3.60 4.24
3.05 -0.36 8.54
3.38 0.73 6.58
4.23 -5.91 9.16
6.98 nan 4.75
1.32 -5.60 4.40
1.96 -7.66 1.73
0.45 -4.04 0.71
0.11 -3.20 3.83
2.38 -0.96 6.98
9.71 4.57 0.70
0.83 -0.99 9.23
2.19 nan 5.25
5.79 1.90 1.10
6.52 -1.17 8.51
7.55 6.81 8.04
3.73 0.48 2.55
4.47 -3.25 0.86
7.84 0.78 8.67
6.17 1.51 3.64
3.96 3.09 1.03
9.24 2.90 6.63
3.46 nan 5.70
8.91 6.37 0.57
8.38 0.91 9.91
5.42 1.66 3.01
3.11 -7.37 7.35
8.16 nan 6.95
7.22 -1.68 0.84
3.70 -0.09 6.47
3.05 3.01 6.06
9.50 9.34 9.02
6.94 nan 2.80
4.65 -1.44 8.51
1.15 -5.88 1.37
7.29 7.16 9.67
4.82 -0.67 6.20
8.13 6.11 8.84
7.54 4.23 9.37
0.51 -2.99 0.52
2.32 0.03 8.40
7.74 5.40 0.74
2.67 -2.12 0.29
0.64 -6.36 3.81
2.90 -9.17 9.61
0.95 -0.36 8.09
6.11 -0.21 2.93
8.76 4.79 4.52
0.71 nan 7.35
0.91 -4.10 3.90
2.91 -3.39 2.78
2.48 -5.65 5.58
0.17 -11.08 8.58
9.47 6.00 4.79
6.68 4.26 4.30
1.04 -8.60 1.50
5.93 3.04 1.69
7.85 nan 0.39
6.94 1.10 2.73
3.28 -0.15 8.37
9.09 4.30 3.88
4.13 -1.93 1.99
5.33 -0.07 3.51
7.17 0.98 0.68
0.56 nan 4.80
4.96 -2.69 5.19
3.82 -2.94 7.10
7.97 nan 1.82
5.00 nan 4.05
0.39 -7.66 9.24
9.92 5.43 3.15
6.34 -1.21 7.89
1.04 -6.48 6.62
6.30 3.62 1.34
6.89 2.07 0.37
6.73 -3.44 1.98
7.40 -0.35 3.88
2.27 -0.63 8.10
2.40 -1.45 2.09
8.51 4.60 6.17
2.75 -4.14 5.77
9.86 1.58 3.53
1.04 -5.40 5.97
5.07 -0.49 5.96
5.90 -0.41 0.85
3.56 -0.83 8.88
3.13 -1.58 5.34
1.06 -0.86 5.51
9.82 6.83 6.94
2.24 -0.33 8.47
0.67 nan 0.64
0.58 0.85 0.09
0.03 nan 7.01
6.14 nan 2.65
8.95 nan 0.37
0.73 -1.85 4.87
6.08 0.65 6.85
0.36 -4.40 0.60
8.57 3.36 6.54
1.19 -7.24 5.56
6.41 -4.86 9.15
8.22 nan 3.47
9.94 5.91 8.40
9.32 1.21 7.86
4.82 nan 7.83
5.01 -6.20 7.77
7.16 2.46 4.07
0.57 -1.52 5.34
6.94 0.61 9.46
6.06 3.07 5.20
8.76 8.67 3.75
4.19 1.48 5.70
2.18 -1.53 2.62
8.97 8.32 8.47
5.11 nan 8.84
6.49 nan 1.48
5.91 6.21 2.32
1.25 -3.43 7.11
6.33 3.54 6.84
7.73 3.24 8.76
7.98 2.41 6.36
3.34 -0.10 0.39
6.44 3.72 8.56
4.82 -3.62 4.79
2.92 0.97 5.12
7.67 -1.08 8.11
2.10 -5.50 9.88
4.38 3.59 5.88
2.94 -1.33 7.60
5.79 4.13 1.33
4.55 -4.00 4.53
1.71 -2.33 5.21
4.08 -4.58 5.14
2.76 -8.80 7.62
9.43 5.31 8.03
4.77 -1.10 1.57
5.67 -3.08 9.35
5.20 2.45 7.76
3.23 0.38 7.04
8.00 2.87 6.37
8.39 7.36 9.36
0.63 -2.17 3.66
1.45 3.05 5.37
9.33 3.30 0.46
8.65 4.22 6.88
4.97 0.33 4.36
